,Title,Genre,Year,Duration,Budget,Revenue,Imdb,Personalrating,Critic_1,Critic_2,Critic_3,Critic_4,Person_1,Person_2,Person_3,Person_4,Person_5,Person_6,Person_7,Person_8,Person_9,Person_10,Person_11,Person_12,Person_13,Person_14,Person_15,Person_16,Person_17,Person_18,Person_19,Person_20
34,Creed,Sports,2015.0,133.0,40.0,173.567581,76.0,100.0,100.0,80.0,100.0,6.0,90.0,80.0,70.0,80.0,90.0,70.0,70.0,90.0,90.0,90.0,90.0,90.0,80.0,100.0,60.0,70.0,90.0,100.0,90.0,70.0
35,Creed 2,Sports,2018.0,130.0,50.0,214.115889,71.0,80.0,70.0,70.0,70.0,8.0,70.0,80.0,70.0,90.0,80.0,60.0,60.0,70.0,80.0,70.0,80.0,60.0,70.0,70.0,60.0,80.0,80.0,70.0,90.0,80.0
36,Creed 3,Sports,2023.0,116.0,75.0,275.248615,67.0,90.0,80.0,60.0,70.0,6.0,70.0,80.0,70.0,80.0,70.0,80.0,50.0,80.0,80.0,70.0,80.0,70.0,60.0,80.0,80.0,70.0,80.0,80.0,80.0,80.0
37,Cronos,Horror,1993.0,94.0,2.0,0.621392,67.0,70.0,70.0,60.0,80.0,8.0,60.0,40.0,80.0,100.0,60.0,80.0,50.0,60.0,60.0,80.0,70.0,100.0,60.0,70.0,80.0,70.0,80.0,80.0,70.0,60.0
38,Dont breathe,Horror,2016.0,88.0,10.0,158.973685,71.0,70.0,90.0,80.0,70.0,7.0,100.0,80.0,90.0,40.0,50.0,70.0,60.0,100.0,80.0,40.0,100.0,90.0,80.0,90.0,70.0,80.0,90.0,100.0,20.0,60.0
39,Dont breathe 2,Horror,2021.0,98.0,15.0,47.31295,60.0,70.0,50.0,50.0,60.0,6.0,40.0,40.0,40.0,50.0,40.0,70.0,50.0,30.0,80.0,40.0,60.0,70.0,30.0,20.0,20.0,100.0,50.0,50.0,30.0,70.0
40,Dont look up,Comedy,2021.0,145.0,75.0,791.863,72.0,80.0,50.0,50.0,80.0,6.0,50.0,60.0,80.0,80.0,90.0,70.0,60.0,70.0,60.0,60.0,80.0,70.0,80.0,90.0,80.0,70.0,80.0,50.0,50.0,40.0
41,Doogal,Family,2006.0,85.0,20.0,26.7,28.0,40.0,50.0,50.0,50.0,5.0,100.0,20.0,20.0,20.0,100.0,100.0,10.0,30.0,80.0,20.0,60.0,30.0,20.0,10.0,30.0,30.0,20.0,20.0,100.0,30.0
42,Dragon Ball Z: Battle of the  Gods,Action,2013.0,85.0,0.636,50.353002,71.0,100.0,80.0,60.0,60.0,9.0,100.0,100.0,80.0,90.0,90.0,80.0,70.0,100.0,70.0,80.0,90.0,80.0,100.0,100.0,90.0,90.0,80.0,100.0,90.0,90.0
43,Due Date,Comedy,2010.0,95.0,65.0,211.8,65.0,80.0,60.0,70.0,50.0,6.0,50.0,50.0,60.0,80.0,60.0,60.0,40.0,50.0,60.0,70.0,60.0,50.0,70.0,50.0,40.0,60.0,60.0,40.0,50.0,40.0
44,Dumb and Dumber,Comedy,1994.0,113.0,17.0,247.275374,73.0,90.0,50.0,50.0,60.0,5.0,100.0,70.0,100.0,100.0,100.0,90.0,70.0,80.0,100.0,70.0,90.0,50.0,100.0,90.0,90.0,100.0,100.0,70.0,70.0,80.0
45,Dune,SciFi,2021.0,168.0,165.0,433.758183,80.0,100.0,60.0,90.0,60.0,7.0,70.0,90.0,90.0,100.0,80.0,90.0,70.0,90.0,80.0,80.0,90.0,100.0,100.0,90.0,80.0,100.0,90.0,90.0,90.0,90.0
46,Dune 2,SciFi,2024.0,166.0,122.0,433.8,,100.0,70.0,70.0,80.0,6.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0
47,Earthquake: the San Andreas Fault,Action,2015.0,114.0,110.0,474.0,61.0,70.0,50.0,50.0,40.0,5.0,40.0,60.0,70.0,40.0,60.0,80.0,80.0,70.0,50.0,60.0,60.0,50.0,50.0,80.0,40.0,70.0,60.0,50.0,50.0,70.0
48,Elvis,Musical,2022.0,159.0,85.0,287.340048,73.0,80.0,70.0,60.0,100.0,7.0,60.0,80.0,60.0,90.0,50.0,70.0,70.0,90.0,80.0,70.0,80.0,100.0,70.0,70.0,60.0,70.0,80.0,100.0,70.0,60.0
49,Encanto,Fantasy,2021.0,109.0,150.0,256.786742,72.0,80.0,70.0,50.0,80.0,8.0,60.0,80.0,90.0,60.0,80.0,60.0,60.0,80.0,90.0,80.0,60.0,60.0,80.0,80.0,80.0,60.0,90.0,80.0,70.0,70.0
50,Enders game,SciFi,2013.0,114.0,110.0,125.537191,66.0,70.0,80.0,50.0,60.0,7.0,50.0,80.0,60.0,80.0,60.0,80.0,80.0,70.0,50.0,50.0,70.0,60.0,50.0,60.0,50.0,40.0,60.0,70.0,80.0,60.0
51,F9,Action,2021.0,143.0,200.0,726.229501,52.0,100.0,70.0,80.0,50.0,6.0,80.0,100.0,60.0,60.0,70.0,80.0,80.0,60.0,60.0,70.0,60.0,60.0,60.0,40.0,80.0,100.0,100.0,50.0,50.0,50.0
52,Fast and Furious,Action,2001.0,106.0,38.0,207.283925,68.0,100.0,50.0,80.0,80.0,6.0,90.0,80.0,90.0,100.0,100.0,70.0,90.0,20.0,80.0,60.0,70.0,40.0,50.0,60.0,30.0,50.0,50.0,70.0,60.0,50.0
53,Fast and Furious 6,Action,2013.0,130.0,260.0,788.67985,70.0,100.0,50.0,50.0,70.0,7.0,60.0,80.0,80.0,90.0,100.0,50.0,80.0,90.0,60.0,90.0,60.0,90.0,80.0,80.0,50.0,70.0,60.0,60.0,80.0,100.0
54,Fast Five,Action,2011.0,130.0,125.0,626.137675,73.0,100.0,70.0,70.0,50.0,6.0,80.0,80.0,80.0,80.0,100.0,90.0,90.0,90.0,90.0,70.0,90.0,90.0,90.0,90.0,50.0,70.0,80.0,90.0,80.0,100.0
55,Fast X,Action,2023.0,141.0,340.0,724.99854,58.0,100.0,60.0,60.0,50.0,5.0,50.0,80.0,80.0,50.0,100.0,40.0,10.0,30.0,30.0,50.0,100.0,30.0,30.0,30.0,50.0,60.0,50.0,40.0,80.0,70.0
56,Fight club,Horror,1999.0,139.0,63.0,100.853753,88.0,100.0,60.0,50.0,90.0,9.0,100.0,90.0,90.0,90.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,90.0,100.0,80.0,100.0,100.0,100.0
57,Finding Nemo,Adventure,2003.0,101.0,94.0,940.4,82.0,90.0,80.0,100.0,100.0,8.0,90.0,90.0,90.0,80.0,80.0,70.0,80.0,80.0,100.0,90.0,100.0,90.0,90.0,80.0,70.0,100.0,100.0,90.0,80.0,90.0
58,Five Feet Apart,Romance,2019.0,117.0,7.0,92.554209,72.0,70.0,60.0,80.0,60.0,8.0,50.0,50.0,50.0,40.0,50.0,10.0,60.0,50.0,80.0,50.0,40.0,40.0,70.0,30.0,60.0,90.0,80.0,50.0,30.0,70.0
59,Five Nights at Freddy´s,Horror,2023.0,110.0,20.0,295.804363,55.0,70.0,60.0,50.0,50.0,5.0,30.0,30.0,60.0,100.0,50.0,60.0,70.0,70.0,40.0,100.0,100.0,100.0,80.0,60.0,50.0,40.0,30.0,30.0,100.0,50.0
60,Ford v Ferrari,Sports,2019.0,152.0,97.6,225.5,81.0,100.0,80.0,80.0,60.0,7.0,80.0,100.0,60.0,70.0,100.0,90.0,100.0,60.0,90.0,80.0,80.0,90.0,80.0,80.0,90.0,80.0,80.0,70.0,70.0,60.0
61,Forrest gump,Comedy,1994.0,142.0,55.0,677.387716,88.0,100.0,60.0,100.0,70.0,8.0,90.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,60.0,90.0,50.0,80.0,100.0,90.0,100.0,70.0,100.0,90.0
62,Free Guy,Action,2021.0,115.0,125.0,331.526598,71.0,80.0,70.0,60.0,50.0,5.0,50.0,50.0,20.0,60.0,70.0,20.0,70.0,20.0,70.0,90.0,20.0,90.0,70.0,50.0,100.0,40.0,50.0,80.0,60.0,20.0
63,Friday 13th,Horror,2009.0,97.0,20.0,92.379051,55.0,70.0,50.0,50.0,50.0,5.0,50.0,60.0,40.0,40.0,100.0,60.0,60.0,70.0,60.0,40.0,90.0,40.0,40.0,20.0,80.0,50.0,30.0,60.0,20.0,20.0
64,Frozen,Musical,2013.0,102.0,150.0,1284.219009,74.0,100.0,100.0,60.0,80.0,7.0,60.0,80.0,70.0,80.0,30.0,60.0,70.0,60.0,90.0,50.0,100.0,100.0,60.0,70.0,30.0,70.0,80.0,70.0,70.0,100.0
65,Frozen 2,Fantasy,2019.0,103.0,150.0,1453.683476,68.0,80.0,60.0,80.0,60.0,7.0,70.0,70.0,50.0,60.0,60.0,50.0,80.0,100.0,80.0,100.0,100.0,50.0,40.0,70.0,90.0,70.0,50.0,70.0,40.0,80.0
66,Furious 7,Action,2015.0,140.0,190.0,1516.045911,71.0,90.0,50.0,80.0,60.0,9.0,100.0,80.0,70.0,70.0,90.0,70.0,100.0,90.0,70.0,70.0,100.0,70.0,70.0,90.0,80.0,80.0,50.0,70.0,80.0,70.0
67,G-Force,Action,2009.0,88.0,150.0,292.817841,51.0,90.0,50.0,50.0,50.0,5.0,50.0,40.0,10.0,100.0,10.0,30.0,30.0,40.0,100.0,80.0,10.0,20.0,10.0,100.0,30.0,50.0,10.0,70.0,100.0,20.0
68,Get Out,Horror,2017.0,104.0,4.5,255.407969,78.0,90.0,80.0,100.0,80.0,8.0,90.0,80.0,100.0,80.0,90.0,80.0,90.0,100.0,80.0,80.0,80.0,80.0,90.0,80.0,100.0,90.0,100.0,80.0,60.0,100.0
69,Gladiator,Action,2000.0,155.0,103.0,457.640427,85.0,90.0,60.0,80.0,60.0,6.0,80.0,100.0,100.0,40.0,90.0,90.0,60.0,60.0,100.0,30.0,80.0,50.0,80.0,60.0,70.0,100.0,70.0,100.0,80.0,90.0
70,Gran Turismo,Sports,2023.0,135.0,60.0,122.0,72.0,100.0,60.0,50.0,70.0,7.0,70.0,50.0,70.0,50.0,70.0,40.0,100.0,50.0,70.0,80.0,60.0,100.0,70.0,80.0,40.0,60.0,70.0,50.0,30.0,70.0
71,Happy Death Day,Horror,2017.0,96.0,4.8,125.5,66.0,80.0,60.0,60.0,50.0,6.0,60.0,80.0,80.0,40.0,70.0,70.0,50.0,60.0,70.0,80.0,50.0,80.0,80.0,70.0,80.0,60.0,80.0,80.0,100.0,60.0
72,Harry Potter and the Chamber of Secrets,Fantasy,2002.0,161.0,100.0,926.0,74.0,100.0,100.0,60.0,60.0,8.0,80.0,70.0,80.0,100.0,60.0,100.0,80.0,60.0,70.0,80.0,60.0,80.0,100.0,50.0,80.0,80.0,80.0,50.0,80.0,80.0
73,Harry Potter and the Deathly Hallows Part 1,Fantasy,2010.0,146.0,125.0,976.0,77.0,70.0,60.0,40.0,70.0,6.0,90.0,90.0,80.0,90.0,90.0,70.0,90.0,70.0,90.0,100.0,100.0,80.0,70.0,90.0,80.0,90.0,100.0,100.0,80.0,100.0
74,Harry Potter and the Deathly Hallows Part 2,Fantasy,2011.0,130.0,125.0,1342.0,81.0,90.0,80.0,80.0,60.0,6.0,90.0,90.0,100.0,60.0,100.0,70.0,90.0,100.0,100.0,90.0,80.0,90.0,100.0,80.0,100.0,90.0,90.0,70.0,90.0,100.0
75,Harry Potter and the Goblet of Fire,Fantasy,2005.0,157.0,150.0,896.8,77.0,90.0,80.0,60.0,30.0,8.0,70.0,80.0,100.0,60.0,80.0,70.0,70.0,60.0,90.0,100.0,60.0,60.0,60.0,60.0,80.0,60.0,80.0,90.0,80.0,90.0
76,Harry Potter and the Half-Blood Prince,Fantasy,2009.0,153.0,250.0,934.5,76.0,80.0,60.0,60.0,80.0,6.0,90.0,70.0,70.0,60.0,80.0,80.0,70.0,60.0,80.0,80.0,90.0,80.0,70.0,70.0,80.0,80.0,100.0,70.0,80.0,90.0
77,Harry Potter and the Order of Phoenix,Fantasy,2007.0,138.0,150.0,942.2,75.0,80.0,80.0,80.0,70.0,6.0,70.0,70.0,80.0,80.0,100.0,70.0,80.0,90.0,90.0,70.0,90.0,90.0,90.0,40.0,70.0,70.0,50.0,80.0,80.0,70.0
78,Harry Potter and the Prisoner of Azkaban,Fantasy,2004.0,139.0,130.0,798.0,79.0,70.0,100.0,60.0,70.0,8.0,100.0,100.0,100.0,100.0,80.0,80.0,100.0,90.0,80.0,70.0,100.0,100.0,80.0,80.0,100.0,100.0,100.0,90.0,100.0,100.0
79,Harry Potter and the Sorcerer's Stone,Fantasy,2001.0,152.0,125.0,974.8,76.0,90.0,80.0,80.0,100.0,8.0,80.0,80.0,90.0,80.0,60.0,70.0,60.0,100.0,80.0,80.0,100.0,70.0,60.0,80.0,80.0,60.0,70.0,80.0,60.0,60.0
80,Hercules,Musical,1997.0,87.0,85.0,252.7,73.0,100.0,100.0,70.0,80.0,9.0,90.0,100.0,80.0,60.0,90.0,80.0,100.0,100.0,70.0,90.0,80.0,80.0,80.0,100.0,100.0,100.0,80.0,70.0,100.0,90.0
81,Home Alone,Comedy,1990.0,103.0,18.0,476.7,77.0,100.0,60.0,70.0,80.0,7.0,70.0,90.0,90.0,80.0,100.0,100.0,90.0,90.0,80.0,90.0,80.0,90.0,80.0,90.0,90.0,80.0,70.0,80.0,80.0,90.0
82,Hush,horror,2016.0,87.0,1.0,,66.0,100.0,80.0,50.0,70.0,6.0,70.0,80.0,80.0,80.0,80.0,80.0,80.0,50.0,80.0,80.0,70.0,80.0,60.0,80.0,60.0,60.0,80.0,70.0,100.0,80.0
83,I am sam,Thriller,2001.0,132.0,22.0,97.8,76.0,100.0,60.0,70.0,40.0,6.0,20.0,30.0,20.0,40.0,80.0,40.0,20.0,80.0,20.0,10.0,10.0,20.0,50.0,30.0,50.0,70.0,20.0,30.0,20.0,80.0
84,I see you,Horror,2019.0,98.0,5.0,1.1,68.0,80.0,80.0,70.0,60.0,7.0,80.0,60.0,30.0,60.0,100.0,60.0,60.0,20.0,40.0,80.0,80.0,70.0,80.0,90.0,60.0,40.0,70.0,60.0,20.0,20.0
85,Ice age,Adventure,2002.0,81.0,59.0,383.2,75.0,80.0,50.0,80.0,50.0,7.0,70.0,70.0,70.0,100.0,90.0,100.0,90.0,70.0,50.0,90.0,70.0,60.0,60.0,50.0,80.0,60.0,60.0,70.0,70.0,80.0
86,Ice age: The Meltdown,Adventure,2006.0,91.0,80.0,667.0,68.0,90.0,80.0,40.0,50.0,6.0,80.0,60.0,70.0,50.0,60.0,60.0,70.0,60.0,60.0,50.0,80.0,60.0,40.0,70.0,50.0,60.0,40.0,50.0,60.0,60.0
87,Ice age:Dawn of the Dinosaurs,Adventure,2009.0,94.0,90.0,886.7,69.0,80.0,50.0,60.0,50.0,4.0,50.0,100.0,40.0,60.0,60.0,90.0,90.0,100.0,80.0,60.0,70.0,70.0,60.0,70.0,50.0,90.0,40.0,100.0,80.0,70.0
88,Inception,Scifi,2010.0,148.0,160.0,839.0,88.0,90.0,60.0,60.0,80.0,2.0,90.0,80.0,90.0,100.0,100.0,100.0,100.0,90.0,100.0,90.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,90.0,90.0
89,Inside out,Comedy,2015.0,95.0,175.0,858.8,81.0,70.0,100.0,80.0,80.0,10.0,90.0,100.0,100.0,80.0,100.0,80.0,80.0,100.0,80.0,70.0,80.0,100.0,60.0,100.0,100.0,60.0,70.0,70.0,100.0,100.0
90,Interstellar,Scifi,2014.0,169.0,165.0,701.7,87.0,100.0,100.0,20.0,90.0,6.0,100.0,100.0,80.0,100.0,100.0,80.0,100.0,80.0,100.0,100.0,90.0,80.0,100.0,60.0,90.0,90.0,100.0,80.0,100.0,100.0
91,IT,Horror,2017.0,135.0,35.0,701.8,73.0,80.0,90.0,70.0,100.0,8.0,80.0,70.0,60.0,80.0,50.0,100.0,70.0,80.0,70.0,90.0,90.0,80.0,70.0,80.0,80.0,60.0,70.0,80.0,60.0,90.0
92,IT Chapter Two,Horror,2019.0,169.0,79.0,473.1,65.0,60.0,60.0,60.0,40.0,7.0,50.0,50.0,30.0,70.0,80.0,70.0,10.0,70.0,50.0,30.0,100.0,60.0,10.0,70.0,70.0,30.0,90.0,70.0,70.0,80.0
93,John wick,Action,2014.0,101.0,30.0,86.0,74.0,90.0,60.0,80.0,80.0,6.0,80.0,80.0,70.0,90.0,80.0,100.0,80.0,80.0,90.0,90.0,80.0,60.0,70.0,60.0,70.0,90.0,100.0,70.0,90.0,80.0
94,John wick 2,Action,2017.0,122.0,40.0,174.3,74.0,90.0,80.0,60.0,80.0,6.0,80.0,80.0,70.0,90.0,80.0,80.0,80.0,80.0,80.0,80.0,90.0,100.0,70.0,80.0,70.0,100.0,80.0,100.0,70.0,80.0
95,John wick 3,Action,2019.0,131.0,75.0,327.7,74.0,90.0,70.0,60.0,60.0,7.0,80.0,100.0,100.0,90.0,80.0,80.0,80.0,90.0,90.0,90.0,70.0,90.0,90.0,90.0,100.0,60.0,80.0,90.0,90.0,80.0
96,John wick 4,Action,2023.0,169.0,100.0,440.1,77.0,100.0,60.0,70.0,40.0,7.0,100.0,100.0,80.0,100.0,100.0,100.0,90.0,80.0,100.0,80.0,80.0,90.0,90.0,90.0,100.0,100.0,80.0,100.0,70.0,90.0
