,Title,Genre,Year,Duration,Budget,Revenue,Imdb,Personalrating,Critic_1,Critic_2,Critic_3,Critic_4,Person_1,Person_2,Person_3,Person_4,Person_5,Person_6,Person_7,Person_8,Person_9,Person_10,Person_11,Person_12,Person_13,Person_14,Person_15,Person_16,Person_17,Person_18,Person_19,Person_20
97,Jumanji,Adventure,1995.0,104.0,65.0,263.0,71.0,90.0,70.0,60.0,60.0,4.0,80.0,80.0,80.0,70.0,60.0,80.0,60.0,80.0,80.0,100.0,80.0,80.0,80.0,70.0,70.0,50.0,80.0,80.0,60.0,70.0
98,Jumanji: Welcome to the jungle,Adventure,2017.0,119.0,90.0,962.1,69.0,90.0,60.0,70.0,70.0,4.0,30.0,40.0,90.0,60.0,90.0,70.0,40.0,80.0,60.0,40.0,40.0,60.0,40.0,70.0,70.0,80.0,70.0,80.0,60.0,80.0
99,Kill Bill,Action,2003.0,111.0,30.0,180.9,82.0,80.0,60.0,100.0,100.0,7.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,100.0,80.0,100.0,80.0,100.0,80.0
100,King Kong vs. Godzilla,Action,2021.0,113.0,155.0,470.1,63.0,90.0,60.0,80.0,60.0,8.0,10.0,70.0,70.0,70.0,60.0,40.0,60.0,50.0,70.0,40.0,60.0,60.0,60.0,60.0,70.0,60.0,50.0,80.0,40.0,80.0
101,KungFu Panda,Comedy,2008.0,92.0,130.0,631.7,76.0,100.0,60.0,60.0,60.0,7.0,90.0,90.0,70.0,90.0,80.0,80.0,100.0,80.0,100.0,100.0,90.0,80.0,100.0,70.0,80.0,90.0,90.0,80.0,80.0,80.0
102,KungFu Panda 2,Comedy,2011.0,92.0,150.0,665.7,72.0,100.0,70.0,40.0,70.0,4.0,80.0,80.0,60.0,90.0,80.0,90.0,90.0,70.0,100.0,90.0,80.0,90.0,100.0,70.0,80.0,100.0,90.0,100.0,90.0,90.0
103,KungFu Panda 3,Comedy,2016.0,95.0,145.0,521.2,71.0,100.0,60.0,80.0,80.0,7.0,60.0,70.0,60.0,60.0,70.0,70.0,90.0,70.0,70.0,80.0,60.0,90.0,70.0,50.0,80.0,90.0,60.0,60.0,60.0,60.0
104,Life of pi,Adventure,2012.0,127.0,120.0,609.0,79.0,80.0,60.0,70.0,80.0,6.0,90.0,100.0,90.0,100.0,70.0,100.0,100.0,90.0,80.0,80.0,80.0,90.0,90.0,80.0,80.0,80.0,60.0,100.0,100.0,80.0
105,Lift,Action,2024.0,107.0,100.0,,55.0,80.0,40.0,70.0,50.0,7.0,30.0,30.0,20.0,30.0,10.0,20.0,40.0,60.0,30.0,20.0,30.0,20.0,40.0,30.0,30.0,40.0,20.0,20.0,30.0,30.0
106,Lilo and stitch,Family,2002.0,85.0,80.0,273.1,73.0,100.0,80.0,40.0,80.0,6.0,80.0,100.0,980.0,80.0,90.0,100.0,90.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,80.0,80.0,80.0,100.0,80.0,60.0
