-,Genre,Year,Duration (min),Budget (US),Box_office,IMDB (Out of 10),Personal_Rating (out of 10),Critic_1,Critic_2,Critic_3,Critic_4,Person_1,Person_2,Person_3,Person_4,Person_5,Person_6,Person_7,Person_8,Person_9,Person_10,Person_11,Person_12,Person_13,Person_14,Person_15,Person_16,Person_17,Person_18,Person_19,Person_20,,,,,
Bolt,Adventure,2008,96,"$150,000,000.00","$309,979,994.00",6.8,9,6,6,8,8,6,8,7,8,8,8,9,8,7,6,6,8,10,6,5,7,10,7,9,6,,,,,
Bruce Almighty,Comedy,2003,101,"$81,000,000.00","$484,592,874.00",6.8,7,6,5,7,6,5,10,7,6,6,6,8,6,7,6,5,7,6,8,9,7,7,6,7,7,,,,,
Bullet Train,Action,2022,126,"$85,000,000.00","$238,997,000.00",7.3,8,5,6,7,6,8,5,8,10,7,6,10,9,8,6,7,7,5,5,7,6,8,7,6,10,,,,,
Candyman,Horror,2021,91,"$25,000,000.00","$77,411,570.00",5.9,5,10,7,5,7,8,6,6,5,2,7,7,7,5,7,7,10,3,6,8,6,3,9,8,4,,,,,
Cars,Comedy,2006,117,"$120,000,000.00","$462,000,000.00",7.2,10,5,6,7,6,8,10,9,10,10,8,8,9,10,10,10,10,10,9,10,10,10,8,8,7,,,,,
Cars 2,Comedy,2011,106,"$200,000,000.00","$559,800,000.00",6.2,9,6,6,5,6,10,9,9,7,7,9,8,8,10,8,10,8,10,8,8,10,10,10,10,10,,,,,
Cars 3,Comedy,2017,109,"$175,000,000.00","$383,900,000.00",6.7,10,6,5,6,8,5,8,8,9,7,8,6,6,6,7,7,5,7,8,7,6,6,8,7,5,,,,,
Catch me if you can,Crime,2002,141,"$52,000,000.00","$352,114,312.00",8.1,7,10,7,10,8,8,9,10,9,9,7,9,8,9,7,8,8,10,9,7,8,10,8,9,9,,,,,
Chicken Little,Comedy,2005,81,"$150,000,000.00","$314,432,837.00",5.7,9,6,5,5,5,6,8,9,8,10,8,7,6,6,8,10,8,6,8,10,6,8,7,8,6,,,,,
Click,Comedy,2006,107,"$82,500,000.00","$240,781,299.00",6.4,8,6,5,5,5,8,3,10,9,3,7,8,2,9,6,1,5,1,1,4,3,7,8,2,10,,,,,
Coco,Fantasy,2017,105,"$175,000,000.00","$807,082,196.00",8.4,10,8,9,8,8,8,9,9,10,10,9,10,8,10,10,8,10,10,9,8,9,10,8,10,10,,,,,
Compadres,Comedy,2016,101,"$3,000,000.00","$7,400,000.00",4.8,7,5,5,7,5,5,2,6,2,4,4,7,2,3,7,6,7,4,6,6,2,2,5,1,8,,,,,
Coraline,Horror,2009,100,"$60,000,000.00","$131,800,000.00",7.7,7,6,6,8,10,9,8,4,10,8,10,6,10,7,10,8,8,7,9,10,10,9,9,10,8,,,,,
Creed,Sports,2015,133,"$40,000,000.00","$173,567,581.00",7.6,10,10,8,10,6,9,8,7,8,9,7,7,9,9,9,9,9,8,10,6,7,9,10,9,7,,,,,
